SiO2,Al2O3,MgO,CaO,Na2O,K2O,SO3,Young
70.81,1.72,4.07,5.66,17.74,0.0,0.0,72.0
72.5,1.2,4.31,6.42,14.36,1.2,0.0,72.0
73.65,0.34,3.02,9.17,13.82,0.0,0.0,83.89
57.1,23.8,12.4,1.9,0.0,0.0,0.0,120.0
57.1,23.8,12.4,1.9,0.0,0.0,0.0,157.0
57.1,23.8,12.4,1.9,0.0,0.0,0.0,115.0
57.1,23.8,12.4,1.9,0.0,0.0,0.0,146.0
57.1,23.8,12.4,1.9,0.0,0.0,0.0,106.0
57.1,23.8,12.4,1.9,0.0,0.0,0.0,140.0
57.1,23.8,12.4,1.9,0.0,0.0,0.0,135.0
57.1,23.8,12.4,1.9,0.0,0.0,0.0,110.0
51.4,34.83,13.77,0.0,0.0,0.0,0.0,98.7
51.4,34.83,13.77,0.0,0.0,0.0,0.0,127.5
46.25,26.16,27.58,0.0,0.0,0.0,0.0,99.0
70.5,0.89,5.05,8.91,13.66,0.0,0.0,66.0
67.81,0.86,4.86,8.57,13.14,0.0,0.0,39.5
0.0,100.0,0.0,0.0,0.0,0.0,0.0,125.0
0.0,100.0,0.0,0.0,0.0,0.0,0.0,120.0
68.26,0.0,0.0,8.61,0.0,23.14,0.0,62.4
71.59,2.08,2.8,6.27,15.39,0.59,0.58,71.9
61.2,27.5,0.3,0.3,5.5,4.2,0.0,87.22
61.6,28.3,0.3,0.3,4.8,3.7,0.0,87.22
62.7,28.0,0.3,0.2,4.4,3.2,0.0,90.16
62.3,27.2,0.4,0.3,4.8,3.7,0.0,90.16
63.8,27.1,0.3,0.2,4.4,3.0,0.0,91.14
63.9,25.2,0.3,0.3,5.1,3.7,0.0,88.2
64.7,25.4,0.3,0.3,4.5,3.0,0.0,87.22
67.9,23.7,0.3,0.3,3.6,2.7,0.0,80.36
67.8,23.9,0.3,0.3,3.6,2.7,0.0,81.34
68.2,23.6,0.3,0.3,3.5,2.7,0.0,82.32
67.7,24.0,0.3,0.2,3.7,2.6,0.0,81.34
60.9,27.3,2.3,3.3,2.8,2.1,0.0,96.04
61.3,27.5,1.7,2.4,3.2,2.4,0.0,118.6
61.9,27.7,1.1,1.5,3.7,2.8,0.0,102.9
62.2,27.9,0.7,0.9,4.0,3.0,0.0,90.16
63.4,28.3,0.3,0.3,3.4,2.5,0.0,96.04
60.3,28.3,3.8,0.3,3.3,2.5,0.0,92.12
60.6,27.9,0.3,3.9,3.4,2.5,0.0,92.12
62.0,28.3,2.1,0.4,3.3,2.5,0.0,94.08
73.9,19.2,0.3,0.2,2.9,2.2,0.0,67.62
62.9,27.8,0.3,0.2,4.4,3.2,0.0,87.22
62.5,27.9,0.3,0.3,4.3,3.3,0.0,86.24
62.7,28.0,0.3,0.2,4.5,3.1,0.0,80.36
57.0,34.0,0.4,0.4,3.5,2.5,0.0,80.36
50.4,38.0,0.6,0.6,5.1,3.0,0.0,79.38
63.0,27.7,0.3,0.2,4.4,3.1,0.0,82.32
63.3,27.2,0.3,0.3,4.4,3.2,0.0,86.24
58.0,28.4,0.1,0.1,1.1,10.1,0.0,79.38
62.1,28.0,0.3,0.3,2.6,4.5,0.0,79.38
65.3,21.1,0.8,0.9,6.6,4.0,0.0,96.04
61.0,28.0,1.4,2.1,2.0,3.9,0.0,89.18
